Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
24.88,Morning,Weekend,2.0,High,Clear,3.4,1.54,0.2,68.14,55.343199999999996
44.83,Afternoon,Weekend,3.0,Medium,Snow,2.17,1.09,0.19,72.04,64.7223
40.19,Afternoon,Weekday,1.0,Medium,Clear,2.79,1.12,0.1,51.19,52.9218
21.84,Evening,Weekday,4.0,Low,Clear,3.31,1.2,0.15,114.14,46.638999999999996
2.1,Morning,Weekend,3.0,Low,Clear,,1.05,0.22,94.38,25.4386
14.17,Afternoon,Weekend,4.0,Low,Snow,4.84,0.65,0.15,37.82,19.7235
27.54,Afternoon,Weekend,1.0,Low,Clear,4.3,0.96,0.49,102.08,80.7576
32.04,Afternoon,Weekend,3.0,Low,Clear,,1.5,0.22,54.73,62.9006
13.64,Morning,Weekday,4.0,Medium,Rain,3.77,1.5,0.15,100.3,39.275
7.83,Afternoon,Weekday,4.0,Medium,Clear,4.16,0.93,0.18,99.63,29.3753
41.91,Afternoon,Weekday,2.0,Medium,Clear,4.82,1.19,0.34,26.72,63.777699999999996
49.24,Afternoon,Weekday,2.0,Medium,Clear,4.64,0.79,0.13,85.63,54.67150000000001
26.76,Afternoon,Weekday,2.0,High,Clear,3.55,0.82,0.44,38.42,42.398
9.41,,Weekend,3.0,Low,Clear,4.32,0.53,0.48,39.21,28.1281
14.34,Evening,Weekday,1.0,Low,Rain,3.69,1.85,,,38.035000000000004
1.9,Morning,Weekend,1.0,Low,Clear,3.66,0.82,0.28,88.44,29.9812
45.8,Evening,Weekday,2.0,Medium,Rain,,0.84,0.11,31.43,
6.77,Afternoon,Weekend,2.0,High,Clear,2.38,0.92,0.36,5.1,10.4444
,Morning,Weekday,2.0,Low,Rain,3.59,0.69,0.27,87.25,47.33
14.43,Morning,Weekday,4.0,High,Clear,2.81,1.46,0.21,24.69,29.062699999999996
28.15,Afternoon,Weekday,2.0,High,Clear,2.06,0.61,0.18,17.02,22.295099999999998
32.92,Evening,Weekday,4.0,Low,Clear,4.17,0.7,0.36,32.31,38.8456
,Evening,Weekend,1.0,Low,Snow,2.1,1.47,0.27,48.69,76.48649999999999
11.11,Evening,Weekend,3.0,Medium,Clear,3.79,1.01,0.17,59.73,25.1652
1.54,Afternoon,Weekday,3.0,High,Clear,3.62,1.56,0.38,10.13,9.8718
7.71,Afternoon,Weekday,3.0,Low,Clear,4.91,,0.33,116.62,53.726
45.1,Morning,Weekday,3.0,Medium,Clear,,0.88,0.44,87.35,81.572
43.82,Afternoon,Weekday,4.0,Low,Clear,2.19,1.48,0.15,42.17,73.3691
30.27,Afternoon,Weekend,4.0,Medium,Clear,3.66,0.67,0.41,41.65,41.0174
30.43,Morning,Weekend,2.0,Medium,Clear,4.52,1.3,0.37,56.58,65.0136
33.59,Morning,Weekday,4.0,Medium,Clear,4.99,1.16,0.15,77.02,55.507400000000004
9.59,Afternoon,Weekend,2.0,High,Clear,3.29,0.9,0.38,21.83,20.2164
45.81,Evening,Weekday,2.0,High,Clear,,1.41,0.28,26.73,75.03649999999999
21.52,Night,Weekend,3.0,High,Rain,4.72,1.81,0.48,103.83,93.5096
19.77,Night,Weekday,4.0,Low,Clear,2.57,2.0,0.16,34.47,47.6252
26.43,Afternoon,Weekend,4.0,Medium,Clear,3.85,1.41,0.36,48.72,58.65549999999999
3.3,Afternoon,Weekend,2.0,Low,Clear,3.22,1.11,0.25,105.2,33.183
9.15,Afternoon,Weekday,2.0,Medium,Snow,2.12,0.84,0.48,81.26,48.8108
37.16,Evening,Weekend,1.0,Medium,Snow,3.04,0.89,0.23,44.3,46.301399999999994
5.06,Morning,Weekday,1.0,Medium,,2.8,1.22,0.48,83.63,49.11559999999999
,Afternoon,Weekday,2.0,Medium,Clear,4.06,1.05,0.46,7.26,39.4771
13.02,Evening,Weekday,1.0,High,Clear,4.85,1.87,,89.6,48.013400000000004
20.08,Afternoon,Weekend,1.0,Low,Clear,2.8,1.05,0.42,,49.5082
15.15,Afternoon,Weekend,2.0,,Clear,4.43,1.06,0.5,98.52,69.749
18.43,Afternoon,Weekend,2.0,Low,Clear,2.17,1.08,0.2,114.78,45.03040000000001
36.23,Morning,Weekend,4.0,,Rain,3.61,,0.27,,97.10940000000001
15.56,Afternoon,Weekday,2.0,,Rain,2.21,1.48,,109.57,59.2055
28.75,Afternoon,Weekend,2.0,High,Rain,4.8,1.42,0.22,63.9,59.68299999999999
24.33,Morning,Weekday,3.0,High,Clear,4.3,1.0,0.11,46.42,33.7362
,Morning,Weekday,4.0,High,Clear,3.97,1.73,0.19,58.48,73.0708
46.9,Evening,Weekday,4.0,High,Clear,4.47,0.56,0.21,84.34,48.44540000000001
36.9,Morning,Weekend,4.0,Low,Clear,3.94,1.81,0.28,106.66,100.5938
11.53,Afternoon,Weekend,3.0,Low,Rain,4.91,1.27,0.17,,24.4491
2.53,Morning,Weekday,2.0,Medium,Clear,4.14,1.1,0.45,110.59,56.688500000000005
13.85,Night,Weekday,4.0,Medium,Clear,4.77,1.25,0.38,98.75,59.6075
30.16,Morning,Weekend,4.0,Medium,Clear,3.55,1.5,0.13,117.57,
3.52,Afternoon,Weekday,,Low,Clear,2.35,,0.36,106.23,42.4232
25.32,Evening,Weekend,4.0,Medium,Rain,3.58,1.81,0.36,37.19,62.797599999999996
30.25,Evening,Weekend,2.0,Medium,Clear,2.38,1.17,0.48,17.18,46.0189
17.38,Morning,Weekday,2.0,Low,Rain,3.78,1.01,0.1,17.91,23.1248
38.77,Evening,Weekday,1.0,Medium,Clear,3.45,0.71,0.2,38.49,38.6747
6.22,Afternoon,Weekend,4.0,Medium,Clear,3.87,1.16,0.47,75.63,46.631299999999996
4.68,Afternoon,Weekend,4.0,Medium,Rain,2.03,1.24,0.47,97.5,53.658199999999994
36.68,Morning,Weekday,4.0,Low,Clear,2.58,1.11,0.39,108.41,85.5747
25.28,Morning,Weekend,3.0,Medium,Snow,3.47,1.52,,76.73,73.3549
34.73,Evening,Weekday,4.0,Low,Clear,4.85,1.13,0.14,5.65,44.88589999999999
22.31,Afternoon,Weekday,2.0,Low,Clear,3.15,1.94,0.31,26.43,54.6247
13.07,,Weekend,2.0,Medium,Clear,3.27,1.4,0.19,16.47,24.6973
41.14,Evening,Weekend,3.0,Medium,Rain,4.14,1.71,0.17,46.78,82.44200000000001
40.17,Evening,Weekday,3.0,Low,Clear,3.81,0.66,0.42,62.66,56.639399999999995
35.04,Morning,Weekend,4.0,Medium,Rain,2.9,1.1,0.15,9.99,
14.34,Afternoon,Weekday,1.0,Medium,Clear,3.23,1.01,0.29,45.07,30.7837
,Morning,Weekday,3.0,Medium,Clear,2.65,1.35,,25.61,55.3348
18.69,Evening,Weekday,3.0,Medium,Clear,4.9,1.79,0.17,79.41,51.8548
5.49,Afternoon,Weekend,4.0,Medium,Clear,2.39,0.62,0.49,58.39,34.4049
45.95,Night,Weekday,4.0,Medium,Clear,3.12,0.61,,61.96,62.12950000000001
7.7,Morning,Weekday,3.0,Low,Rain,2.08,1.78,,54.18,33.1236
47.56,Morning,Weekday,1.0,Low,Clear,2.67,0.82,0.17,114.94,61.209
22.85,Morning,Weekend,3.0,Medium,Clear,4.34,,0.23,29.69,45.44370000000001
